1602127920000 ms,@dawnrichard :faints: ahhh i love her stories too dawny phewwwww  11DAYS,1,1
1602132960000 ms,@DawnRichard your dog is adorable and the house is beautiful!. hows ur positive day going? mines much better now that im off work,1,1
1602144960000 ms,"\@BrentCorrigan00 http://twitpic.com/7iepl - wow""",1,1
1602119880000 ms,@dawanda_en  have you checked Etsy?  I'm ready to list more owl bags today like the cute ones in my sold section - juliemeyer.etsy.com,1,1
1602106200000 ms,"\@davidrklein I absolutely LOVED the book""",1,1
1602141240000 ms,@BrennaBreakdown  i have to actually agree with you.. at my school its the end of the year and our teacher still gives us work... uhhhh,0,0
1602155040000 ms,@DawnRichard lmao!! My coworkers and I resight that line very frequently..that's our shit,1,1
1602122040000 ms,@Breemeetsworld Thanks Bree. Good to know a Scottish accent is more important to you than me.,1,1
1602088920000 ms,@BraveLad Take care...Glad to have rendered some enlightenment,1,1
1602096360000 ms,@davidhauslaib so glad I could be a help to your best day ever (30 sec skip),1,1
1602122160000 ms,@breeoleary fuck. that's horrible  at least she's not suffering anymore.. she's in a better place.. i love you.. i hope you're ok..,1,0
1602133440000 ms,@dawnwebb Fuck yeah! I'll be at Blu! Text me after,1,1
1602155880000 ms,@DawnRichard Wondering why nobody ever answers me on twitter!,0,0
1602115320000 ms,@davisimyangel ugh i have to take bio next semester.,0,0
1602150240000 ms,"\@DazzleMeThis psshhtt""",1,1
1602101040000 ms,"\@BraylenC Yo' Life Sucks Because You Don't Love Me""",1,0
1602155160000 ms,@DawnRichard my rain is when I think about my grandmother...I miss her sOoooo much...she was the glue that held our family 2gether!!!,0,0
1602147840000 ms,"\@DayvilleHamoway Davel I am hating you for posting all these vids""",1,0
1602092640000 ms,@DavidLover gosh yes he did looked great,1,1
1602126960000 ms,@Bren_311 Thanks,1,1
1602148080000 ms,@DAZ081068 Nice. Im stuck on hold atm so can tweet freely. i spend 90% of my time on the phone,1,1
1602090240000 ms,@DAVIDCESAR3 thank you,1,1
1602146400000 ms,"\@BrentO hey""",1,1
1602098400000 ms,@davidschwimmer haha Jenifer aniston on twitter that's funny.,1,1
1602157800000 ms,"\@Bri51NY Awww  that's no fun""",1,0
1602156840000 ms,@BrewskieButt well we do keep goin back,1,1
1602163680000 ms,@brian4dotcom Good morning Brian,1,1
1602139920000 ms,@DayDiaz &quot;Malcum Mecel musn't meet Macy Misa&quot; lmao! and &quot;I love it!&quot; haha i love the JB so much.aww when Macy cried it was soo sad!,1,1
1602109440000 ms,@davidschwimmer it sux in toronto!!! rainy and cold =( how about you!?!?!?! love you like crazy nite peace out,1,0
1602128760000 ms,"\@DawnRichard Get some sleep  stay healthy so that u can continue w/ the positivity! Dont let the negativity in""",1,1
1602097560000 ms,@davidrules04 assorted nuts eh? ha. sorry i have such a dirty mind!! I'd offer you one of my cookies but your all the way in manchester!,0,1
1602106560000 ms,@davidrules04 Still say Atrophy is their best tune,1,1
1602115680000 ms,@davorg I'd be waiting for Planet CCRMA to catch up anyway,1,1
1602149040000 ms,@dazzledfool yay,1,1
1602099120000 ms,@davidiannelli home for summer! till september when I'm moving into my own house..,1,1
1602153840000 ms,@DawnRichard awwwww dont cry,0,0
1602118440000 ms,@davotek http://twitpic.com/6osab - Wish I'd had the dosh to go down,1,1
1602134760000 ms,@BrendanDeBeasi The dark stroke defines it much better..nice work. Unusual icon overlay effect in tweetdeck when you mouse over your icon,1,1
1602145200000 ms,@BrentCorrigan00 sooooo sorry to hear about your dog  My heart goes out!,0,0
1602165960000 ms,@briandelizza  when the cards are right... hell yes!,1,1
1602133080000 ms,@dawnrules oh well thats not very clever. come on msn please,0,0
1602169200000 ms,@dc2d9 this morning? about 8:30. we slept at 5.,1,1
1602131280000 ms,@Dawn_W Lots of happy people on that one,1,1
1602111360000 ms,@davidwhittam Morning love. Another load o' films to watch@wkend.  @The_Arn is right. Japan is wonderful. Let's go next year.,0,1
1602172680000 ms,@BrianKurtz What about UK. Still not on itunes.,0,1
1602165000000 ms,@BrianAtkins aw poor thing  give her kisses for me!,0,0
1602125400000 ms,"\@breeze80 Sure thing!!  If I ever hit the lottery""",1,1
1602132480000 ms,@DawnRichard studying!! and no dawn!! youre the shit!!  lol,1,1
1602142800000 ms,"\@DaydreamLily no I mean the chuck and blair thing""",0,1
1602141960000 ms,@brennig now to figure out why installed themes show header text in wrong place.,0,1
1602099480000 ms,@davidismyangel is enough time!! (if i get into VIP!) but i know that doesn't make up for it  at least they'll have each other!,0,0
1602139080000 ms,@Day26OnStTeam I KNOW I'M LATE BUT I'M A ROBBIE LOVER  HIS SWAGG IS SICK LOVE IT,0,1
1602112920000 ms,@davorado Being followed by the KING of twitters is the only riches I need. Thank you for being my friend. Have a gr8 week2u and family,1,1
